source,target,weight
81822,94106,1
81822,94167,1
81822,94195,1
81822,113898,1
81822,140583,1
81822,170821,1
81822,252858,1
81822,287697,1
81822,288785,1
81822,291091,1
81822,297516,1
81822,299354,1
81822,301034,1
81822,302363,1
81822,302855,1
81822,303527,1
81822,312248,1
81822,360395,1
81822,360922,1
81822,361725,1
81822,363551,1
81822,366203,1
81822,366624,1
81822,406228,1
81822,407760,1
81822,407761,1
81822,407762,1
81822,445415,1
81822,450228,1
81822,494202,1
81822,500183,1
81822,681126,1
81822,102548228,1
81822,102553148,1
81822,120098222,1
81822,294282,1
81822,25012,1
81822,25255,1
81822,25716,1
81822,316531,1
81822,25506,1
81822,24784,1
81822,24252,1
81822,24498,1
81822,25021,1
81822,25672,1
81822,94188,1
81822,287562,1
81822,316137,1
81822,29524,1
81822,65172,1
81822,58840,1
81822,65131,1
81822,116479,1
81822,304193,1
81822,307618,1
81822,315795,1
81822,691644,1
81822,25105,1
81822,29556,1
81822,60421,1
81822,66021,1
81822,266674,1
81822,311570,1
81822,246294,1
81822,29589,1
81822,84588,1
81822,192675,1
81822,171091,1
81822,432358,1
81822,24451,1
81822,25418,1
81822,24173,1
81822,24180,1
81822,24182,1
81822,24190,1
81822,24310,1
81822,24627,1
81822,24693,1
81822,24886,1
81822,25245,1
81822,25289,1
81822,25527,1
81822,25757,1
81822,29527,1
81822,50681,1
81822,81509,1
81822,85431,1
81822,114243,1
81822,117526,1
81822,171115,1
81822,246074,1
81822,497757,1
81822,24689,1
81822,24852,1
81822,24963,1
81822,29430,1
81822,58817,1
81822,84474,1
81822,116561,1
81822,291152,1
81822,286928,1
81822,364386,1
81822,24766,1
81822,29571,1
81822,29710,1
81822,78956,1
81822,81574,1
81822,361833,1
81822,497770,1
81822,25737,1
81822,29382,1
81822,29548,1
81822,60371,1
81822,64314,1
81822,83584,1
81822,114508,1
81822,114764,1
81822,171408,1
81822,290401,1
81822,290537,1
81822,290692,1
81822,291211,1
81822,293344,1
81822,294074,1
81822,299346,1
81822,309995,1
81822,360204,1
81822,360547,1
81822,362638,1
81822,362706,1
81822,362814,1
81822,498008,1
81822,100360582,1
81822,103694097,1
81822,727679,1
81822,24835,2
81822,65137,2
81822,292907,2
81822,24170,2
81822,29495,2
81822,25253,2
81822,266717,2
81822,296554,2
81822,300250,2
81822,312812,2
81822,450225,2
81822,24617,2
81822,25698,2
81822,54241,2
81822,291081,2
81822,29424,2
81822,85333,2
81822,300218,2
81822,500929,2
81822,24189,2
81822,24399,2
81822,29489,2
81822,58945,2
81822,25135,2
81822,64465,2
81822,117280,2
81822,100362640,2
81822,25309,2
81822,25386,2
81822,299850,2
81822,691149,2
81822,24851,2
81822,79125,2
81822,296654,2
81822,501203,2
81822,24206,2
81822,26760,2
81822,29700,2
81822,60398,2
81822,63879,2
81822,64301,2
81822,83523,2
81822,84401,2
81822,114113,2
81822,124461,2
81822,140923,2
81822,171452,2
81822,287552,2
81822,287716,2
81822,291095,2
81822,291314,2
81822,292729,2
81822,295214,2
81822,295961,2
81822,301431,2
81822,309591,2
81822,311218,2
81822,311786,2
81822,360816,2
81822,498492,2
81822,619580,2
81822,691018,2
81822,751787,2
81822,100169747,2
81822,83833,2
81822,301020,2
81822,313048,2
81822,361711,2
81822,685179,2
81822,24400,2
81822,24511,2
81822,80846,2
81822,363113,2
81822,316229,2
81822,24387,2
81822,24849,2
81822,29338,2
81822,50671,2
81822,117254,2
81822,360853,2
81822,59114,2
81822,64160,2
81822,81521,2
81822,81683,2
81822,296655,2
81822,406864,2
81822,24246,2
81822,25017,2
81822,171140,2
81822,25275,2
81822,66027,2
81822,81653,2
81822,361745,2
81822,24186,2
81822,24232,2
81822,293860,2
81822,309550,2
81822,292994,2
81822,29545,2
81822,100361457,2
81822,24471,2
81822,305679,2
81822,24587,2
81822,60374,2
81822,25608,2
81822,246253,2
81822,24534,2
81822,24813,2
81822,64514,2
81822,266610,2
81822,290029,2
81822,299976,2
81822,304429,2
81822,362960,2
81822,683206,2
81822,50683,2
81822,84596,2
81822,295620,2
81822,315708,2
81822,24264,3
81822,299331,3
81822,29753,3
81822,304859,3
81822,24426,3
81822,29221,3
81822,59085,3
81822,24472,3
81822,29214,3
81822,108348108,3
81822,171350,3
81822,64159,3
81822,24250,3
81822,25134,3
81822,64352,3
81822,81727,3
81822,114860,3
81822,306547,3
81822,303518,3
81822,361825,3
81822,313494,3
81822,24468,3
81822,25400,3
81822,50522,3
81822,171361,3
81822,291245,3
81822,298653,3
81822,24223,3
81822,24465,3
81822,680668,3
81822,361925,4
81822,25630,4
81822,25578,4
81822,290046,4
81822,24957,4
81822,24503,4
81822,29292,4
81822,29562,4
81822,191575,4
81822,300981,4
81822,171379,4
81822,29271,4
81822,24333,5
81822,24533,5
81822,25745,5
81822,63836,5
81822,29498,5
81822,24383,6
81822,64158,6
81822,287876,10
309757,24835,4
84410,24835,1
117516,24835,8
64044,24835,10
363630,24835,1
25661,24835,1
24628,24835,3
24511,24835,1
296456,24835,1
24887,24835,8
64032,24835,1
361945,24835,1
81780,24835,8
100314000,24835,1
81687,24835,6
24617,24835,4
25328,24835,1
25687,24835,1
100314241,24835,2
29386,24835,2
25467,24835,1
24494,24835,173
24498,24835,164
24835,25139,1
24835,81737,1
24835,24925,1
24835,25645,1
24835,116596,1
24835,314870,1
24835,362418,1
24835,25118,1
24835,309684,1
24835,360918,1
24835,641627,1
24835,309622,1
24835,24162,1
24835,25126,1
24835,29277,1
24835,94193,1
24835,54319,1
24835,81521,1
24835,360678,1
24835,24653,1
24835,24767,1
24835,24768,1
24835,25489,1
24835,29665,1
24835,24784,1
24835,64030,1
24835,24391,1
24835,414790,1
24835,353229,1
24835,363265,1
24835,448830,1
24835,361167,1
24835,171056,1
24835,57025,1
24835,290344,1
24835,301132,1
24835,29692,1
24835,100363332,1
24835,363854,1
