geneID,symbol,degree
104797224,Mir3084a-2,22
104797225,Mir762,22
104797375,Mir340-2,91
104797377,Mir450b-2,22
104797378,Mir29b-3,103
104797379,Mir542-3,35
104797513,Mir1956,22
104798324,Lnc001,7
104845257,Lnc056,7
104845258,Fendrr,59
104845260,Lnc215,7
104940696,Tincr,3
104968332,Aptr,59
105274309,Selenow-ps1,7
105841163,Mir155hg,22
105841230,Kantr,3
106345158,Cep83os,57
106456572,Crnde,14
106456573,Mirlet7bhg,1
106557434,Linc-rbe,1
106631776,Mtln,29
106736471,LOC106736471,4
108348065,Hdac6,90
108348073,Eif5,43
108348076,Ksr1,27
108348108,Hspa1b,212
108348166,Intu,11
108348178,Vps37c,10
108348181,LOC108348181,1
108348201,Pcdhb15,69
108348771,Pcdhb16,3
108349548,Gng5-ps3,5
108351734,C2cd4b,106
108352018,Mymx,1
110596864,Lnc-hc,5
112400,Nrg1,158
113886,Kif1c,89
113892,Nat8f3,5
113893,Sncb,57
113894,Sqstm1,216
113898,Prdx5,154
113901,Chia,3
113902,Ces1d,132
113906,Hspb8,12
113911,Gucy2e,3
113912,Rtn4r,26
113914,Taar1,18
113918,Slc6a20a,3
113919,Gpx5,8
113922,Selenof,17
113927,Csnk1a1,71
113929,Nup88,7
113931,Prrx2,24
113936,Cpb2,15
113937,Clec2d,16
113938,Snurf,7
113947,Maged2,2
113948,Bbs2,32
113955,Gpnmb,21
113956,Pecr,78
113958,Mrps7,14
113959,C5ar1,15
113960,Cdc42bpb,12
113961,Gorasp2,15
113965,Hadh,23
113970,Magi2,76
113976,Acsl4,54
113983,Pitx1,34
113984,Nr2f2,90
113990,Hmgn3,4
113992,Ugt1a6,99
113995,P2rx5,6
114002,Ndst2,8
114004,Ppp1r14a,28
114005,Epm2a,16
114017,Gfm1,2
114020,Nat8f5,64
114021,Ebna1bp2,3
114022,Glrx2,8
114023,Copb1,40
114024,Acsl3,44
114027,Dao,42
114028,Ctnnd2,65
114029,Megf8,74
114031,Fstl3,8
114032,Kcnh4,3
114087,Banf1,6
114089,Inpp5e,23
114090,Egr2,91
114091,Fcnb,5
114093,St14,4
114095,Stxbp3,60
114096,Idh3a,5
114097,Ltc4s,8
114098,Ltb4r2,1
114099,Cysltr1,6
114100,Sc5d,21
114101,Cds2,2
114102,Cdh23,41
114103,Il5ra,2
114104,Asah2,6
114105,Cxcl2,80
114106,Bco1,10
114107,Kremen1,4
114109,Nkx2-5,63
114110,Flt4,118
114111,Vegfc,20
114113,Pafah1b3,116
114114,Dnm1l,203
114115,P2rx2,110
114116,Cdc42bpa,15
114117,Gng3,69
114118,Gng4,10
114119,Gng10,38
114120,Gng12,27
